Created as New Dataset,Sample 059 By ir Date Thursday, May 07 2015
cm-1,A
5500.00,-0.0041
5499.88,-0.0040
5499.75,-0.0038
5499.63,-0.0038
5499.50,-0.0041
5499.38,-0.0046
5499.25,-0.0048
5499.13,-0.0046
5499.00,-0.0042
5498.88,-0.0041
5498.75,-0.0042
5498.63,-0.0043
5498.50,-0.0043
5498.38,-0.0042
5498.25,-0.0042
5498.13,-0.0041
5498.00,-0.0041
5497.88,-0.0041
5497.75,-0.0043
5497.63,-0.0043
5497.50,-0.0041
5497.38,-0.0038
5497.25,-0.0037
5497.13,-0.0039
5497.00,-0.0042
5496.88,-0.0045
5496.75,-0.0045
5496.63,-0.0043
5496.50,-0.0040
5496.38,-0.0041
5496.25,-0.0043
5496.13,-0.0045
5496.00,-0.0045
5495.88,-0.0046
5495.75,-0.0048
5495.63,-0.0047
5495.50,-0.0042
5495.38,-0.0038
5495.25,-0.0040
5495.13,-0.0043
5495.00,-0.0042
5494.88,-0.0040
5494.75,-0.0042
5494.63,-0.0044
5494.50,-0.0041
5494.38,-0.0036
5494.25,-0.0036
5494.13,-0.0041
5494.00,-0.0044
5493.88,-0.0043
5493.75,-0.0043
5493.63,-0.0046
5493.50,-0.0048
5493.38,-0.0046
5493.25,-0.0044
5493.13,-0.0044
5493.00,-0.0046
5492.88,-0.0045
5492.75,-0.0043
5492.63,-0.0041
5492.50,-0.0040
5492.38,-0.0039
5492.25,-0.0038
5492.13,-0.0039
5492.00,-0.0042
5491.88,-0.0046
5491.75,-0.0048
5491.63,-0.0048
5491.50,-0.0046
5491.38,-0.0044
5491.25,-0.0043
5491.13,-0.0042
5491.00,-0.0041
5490.88,-0.0042
5490.75,-0.0046
5490.63,-0.0049
5490.50,-0.0049
5490.38,-0.0046
5490.25,-0.0045
5490.13,-0.0045
5490.00,-0.0043
5489.88,-0.0040
5489.75,-0.0038
5489.63,-0.0038
5489.50,-0.0039
5489.38,-0.0038
5489.25,-0.0039
5489.13,-0.0042
5489.00,-0.0042
5488.88,-0.0041
5488.75,-0.0040
5488.63,-0.0041
5488.50,-0.0041
5488.38,-0.0040
5488.25,-0.0041
5488.13,-0.0043
5488.00,-0.0045
5487.88,-0.0044
5487.75,-0.0043
5487.63,-0.0044
5487.50,-0.0046
5487.38,-0.0046
5487.25,-0.0045
5487.13,-0.0045
5487.00,-0.0046
5486.88,-0.0047
5486.75,-0.0049
5486.63,-0.0050
5486.50,-0.0049
5486.38,-0.0045
5486.25,-0.0041
5486.13,-0.0041
5486.00,-0.0041
5485.88,-0.0040
5485.75,-0.0040
5485.63,-0.0044
5485.50,-0.0048
5485.38,-0.0049
5485.25,-0.0047
5485.13,-0.0047
5485.00,-0.0047
5484.88,-0.0047
5484.75,-0.0046
5484.63,-0.0045
5484.50,-0.0044
5484.38,-0.0042
5484.25,-0.0042
5484.13,-0.0041
5484.00,-0.0040
5483.88,-0.0038
5483.75,-0.0038
5483.63,-0.0041
5483.50,-0.0042
5483.38,-0.0041
5483.25,-0.0041
5483.13,-0.0042
5483.00,-0.0042
5482.88,-0.0039
5482.75,-0.0040
5482.63,-0.0044
5482.50,-0.0046
5482.38,-0.0043
5482.25,-0.0039
5482.13,-0.0041
5482.00,-0.0045
5481.88,-0.0044
5481.75,-0.0042
5481.63,-0.0041
5481.50,-0.0044
5481.38,-0.0045
5481.25,-0.0044
5481.13,-0.0046
5481.00,-0.0049
5480.88,-0.0047
5480.75,-0.0044
5480.63,-0.0043
5480.50,-0.0044
5480.38,-0.0043
5480.25,-0.0041
5480.13,-0.0041
5480.00,-0.0041
5479.88,-0.0039
5479.75,-0.0037
5479.63,-0.0039
5479.50,-0.0042
5479.38,-0.0041
5479.25,-0.0035
5479.13,-0.0035
5479.00,-0.0042
5478.88,-0.0048
5478.75,-0.0049
5478.63,-0.0048
5478.50,-0.0048
5478.38,-0.0046
5478.25,-0.0042
5478.13,-0.0040
5478.00,-0.0042
5477.88,-0.0045
5477.75,-0.0045
5477.63,-0.0044
5477.50,-0.0047
5477.38,-0.0049
5477.25,-0.0047
5477.13,-0.0043
5477.00,-0.0041
5476.88,-0.0040
5476.75,-0.0039
5476.63,-0.0038
5476.50,-0.0040
5476.38,-0.0043
5476.25,-0.0043
5476.13,-0.0042
5476.00,-0.0041
5475.88,-0.0044
5475.75,-0.0047
5475.63,-0.0049
5475.50,-0.0048
5475.38,-0.0046
5475.25,-0.0042
5475.13,-0.0042
5475.00,-0.0044
5474.88,-0.0047
5474.75,-0.0046
5474.63,-0.0042
5474.50,-0.0040
5474.38,-0.0040
5474.25,-0.0041
5474.13,-0.0042
5474.00,-0.0045
5473.88,-0.0047
5473.75,-0.0048
5473.63,-0.0045
5473.50,-0.0042
5473.38,-0.0040
5473.25,-0.0041
5473.13,-0.0042
5473.00,-0.0043
5472.88,-0.0043
5472.75,-0.0044
5472.63,-0.0046
5472.50,-0.0046
5472.38,-0.0045
5472.25,-0.0044
5472.13,-0.0045
5472.00,-0.0045
5471.88,-0.0044
5471.75,-0.0043
5471.63,-0.0044
5471.50,-0.0046
5471.38,-0.0046
5471.25,-0.0044
5471.13,-0.0043
5471.00,-0.0043
5470.88,-0.0042
5470.75,-0.0040
5470.63,-0.0039
5470.50,-0.0040
5470.38,-0.0044
5470.25,-0.0047
5470.13,-0.0050
5470.00,-0.0051
5469.88,-0.0048
5469.75,-0.0044
5469.63,-0.0042
5469.50,-0.0043
5469.38,-0.0043
5469.25,-0.0042
5469.13,-0.0041
5469.00,-0.0042
5468.88,-0.0042
5468.75,-0.0039
5468.63,-0.0037
5468.50,-0.0038
5468.38,-0.0041
5468.25,-0.0041
5468.13,-0.0039
5468.00,-0.0040
5467.88,-0.0042
5467.75,-0.0042
5467.63,-0.0040
5467.50,-0.0039
5467.38,-0.0039
5467.25,-0.0041
5467.13,-0.0044
5467.00,-0.0048
5466.88,-0.0051
5466.75,-0.0049
5466.63,-0.0043
5466.50,-0.0038
5466.38,-0.0037
5466.25,-0.0036
5466.13,-0.0036
5466.00,-0.0039
5465.88,-0.0043
5465.75,-0.0046
5465.63,-0.0044
5465.50,-0.0042
5465.38,-0.0042
