Created as New Dataset,Sample 024 By ir Date Thursday, May 14 2015
cm-1,A
6500.00,0.0777
6499.88,0.0734
6499.75,0.0706
6499.63,0.0703
6499.50,0.0712
6499.38,0.0726
6499.25,0.0742
6499.13,0.0749
6499.00,0.0747
6498.88,0.0746
6498.75,0.0752
6498.63,0.0754
6498.50,0.0747
6498.38,0.0743
6498.25,0.0750
6498.13,0.0756
6498.00,0.0749
6497.88,0.0744
6497.75,0.0754
6497.63,0.0769
6497.50,0.0768
6497.38,0.0759
6497.25,0.0761
6497.13,0.0766
6497.00,0.0754
6496.88,0.0729
6496.75,0.0717
6496.63,0.0730
6496.50,0.0751
6496.38,0.0765
6496.25,0.0772
6496.13,0.0776
6496.00,0.0776
6495.88,0.0773
6495.75,0.0773
6495.63,0.0770
6495.50,0.0760
6495.38,0.0753
6495.25,0.0757
6495.13,0.0761
6495.00,0.0751
6494.88,0.0739
6494.75,0.0748
6494.63,0.0765
6494.50,0.0764
6494.38,0.0745
6494.25,0.0737
6494.13,0.0749
6494.00,0.0757
6493.88,0.0750
6493.75,0.0749
6493.63,0.0771
6493.50,0.0795
6493.38,0.0797
6493.25,0.0783
6493.13,0.0775
6493.00,0.0772
6492.88,0.0764
6492.75,0.0755
6492.63,0.0754
6492.50,0.0760
6492.38,0.0764
6492.25,0.0765
6492.13,0.0765
6492.00,0.0761
6491.88,0.0749
6491.75,0.0743
6491.63,0.0749
6491.50,0.0756
6491.38,0.0752
6491.25,0.0742
6491.13,0.0736
6491.00,0.0731
6490.88,0.0725
6490.75,0.0724
6490.63,0.0736
6490.50,0.0754
6490.38,0.0765
6490.25,0.0776
6490.13,0.0792
6490.00,0.0801
6489.88,0.0785
6489.75,0.0757
6489.63,0.0745
6489.50,0.0751
6489.38,0.0755
6489.25,0.0746
6489.13,0.0739
6489.00,0.0743
6488.88,0.0748
6488.75,0.0745
6488.63,0.0749
6488.50,0.0767
6488.38,0.0779
6488.25,0.0768
6488.13,0.0744
6488.00,0.0736
6487.88,0.0748
6487.75,0.0762
6487.63,0.0761
6487.50,0.0755
6487.38,0.0756
6487.25,0.0765
6487.13,0.0770
6487.00,0.0763
6486.88,0.0748
6486.75,0.0738
6486.63,0.0748
6486.50,0.0769
6486.38,0.0781
6486.25,0.0773
6486.13,0.0760
6486.00,0.0762
6485.88,0.0776
6485.75,0.0780
6485.63,0.0770
6485.50,0.0765
6485.38,0.0775
6485.25,0.0789
6485.13,0.0790
6485.00,0.0781
6484.88,0.0775
6484.75,0.0774
6484.63,0.0768
6484.50,0.0761
6484.38,0.0767
6484.25,0.0781
6484.13,0.0779
6484.00,0.0757
6483.88,0.0740
6483.75,0.0749
6483.63,0.0768
6483.50,0.0770
6483.38,0.0758
6483.25,0.0759
6483.13,0.0780
6483.00,0.0791
6482.88,0.0771
6482.75,0.0737
6482.63,0.0722
6482.50,0.0732
6482.38,0.0753
6482.25,0.0770
6482.13,0.0782
6482.00,0.0790
6481.88,0.0792
6481.75,0.0784
6481.63,0.0762
6481.50,0.0736
6481.38,0.0719
6481.25,0.0722
6481.13,0.0735
6481.00,0.0740
6480.88,0.0734
6480.75,0.0736
6480.63,0.0757
6480.50,0.0783
6480.38,0.0788
6480.25,0.0777
6480.13,0.0771
6480.00,0.0779
6479.88,0.0782
6479.75,0.0765
6479.63,0.0743
6479.50,0.0736
6479.38,0.0748
6479.25,0.0762
6479.13,0.0767
6479.00,0.0764
6478.88,0.0757
6478.75,0.0746
6478.63,0.0737
6478.50,0.0741
6478.38,0.0760
6478.25,0.0777
6478.13,0.0779
6478.00,0.0771
6477.88,0.0767
6477.75,0.0768
6477.63,0.0765
6477.50,0.0755
6477.38,0.0749
6477.25,0.0758
6477.13,0.0773
6477.00,0.0778
6476.88,0.0771
6476.75,0.0762
6476.63,0.0758
6476.50,0.0759
6476.38,0.0767
6476.25,0.0784
6476.13,0.0799
6476.00,0.0793
6475.88,0.0767
6475.75,0.0741
6475.63,0.0734
6475.50,0.0738
6475.38,0.0736
6475.25,0.0726
6475.13,0.0724
6475.00,0.0737
6474.88,0.0751
6474.75,0.0753
6474.63,0.0745
6474.50,0.0742
6474.38,0.0754
6474.25,0.0772
6474.13,0.0780
6474.00,0.0776
6473.88,0.0770
6473.75,0.0768
6473.63,0.0763
6473.50,0.0749
6473.38,0.0732
6473.25,0.0727
6473.13,0.0734
6473.00,0.0741
6472.88,0.0739
6472.75,0.0733
6472.63,0.0730
6472.50,0.0725
6472.38,0.0718
6472.25,0.0720
6472.13,0.0735
6472.00,0.0752
6471.88,0.0759
6471.75,0.0755
6471.63,0.0752
6471.50,0.0749
6471.38,0.0745
6471.25,0.0743
6471.13,0.0749
6471.00,0.0755
6470.88,0.0751
6470.75,0.0741
6470.63,0.0743
6470.50,0.0757
6470.38,0.0767
6470.25,0.0763
6470.13,0.0751
6470.00,0.0743
6469.88,0.0740
6469.75,0.0745
6469.63,0.0758
6469.50,0.0771
6469.38,0.0774
6469.25,0.0769
6469.13,0.0767
6469.00,0.0770
6468.88,0.0763
6468.75,0.0745
6468.63,0.0733
6468.50,0.0736
6468.38,0.0740
6468.25,0.0732
6468.13,0.0725
6468.00,0.0736
6467.88,0.0757
6467.75,0.0769
